benchmark,category,variant,size,time_1
2mm,polybench/linear-algebra/kernels,clang,EXTRALARGE,9.889665
2mm,polybench/linear-algebra/kernels,gcc,EXTRALARGE,5.7579675
2mm,polybench/linear-algebra/kernels,jax,EXTRALARGE,0.0547976050293073
2mm,polybench/linear-algebra/kernels,jax_gpu,EXTRALARGE,0.0041170665062964
2mm,polybench/linear-algebra/kernels,jax_gpu_onlykernel,EXTRALARGE,7.57045345380902e-05
2mm,polybench/linear-algebra/kernels,numba,EXTRALARGE,8.65569488797337
2mm,polybench/linear-algebra/kernels,numpy,EXTRALARGE,0.0594342349795625
2mm,polybench/linear-algebra/kernels,polly,EXTRALARGE,1.099117
2mm,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,1.0993275
2mm,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,1.0974685
2mm,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,1.09448
2mm,polybench/linear-algebra/kernels,torch,EXTRALARGE,0.0572948020417243
2mm,polybench/linear-algebra/kernels,torch_compiled,EXTRALARGE,0.0459097799612209
2mm,polybench/linear-algebra/kernels,torch_gpu_onlykernel,EXTRALARGE,4.53195534646511e-05
3mm,polybench/linear-algebra/kernels,clang,EXTRALARGE,15.804082
3mm,polybench/linear-algebra/kernels,gcc,EXTRALARGE,9.222143
3mm,polybench/linear-algebra/kernels,jax,EXTRALARGE,0.072161098010838
3mm,polybench/linear-algebra/kernels,jax_gpu,EXTRALARGE,0.004218335961923
3mm,polybench/linear-algebra/kernels,jax_gpu_onlykernel,EXTRALARGE,7.43900891393423e-05
3mm,polybench/linear-algebra/kernels,numba,EXTRALARGE,14.7879093560623
3mm,polybench/linear-algebra/kernels,numpy,EXTRALARGE,0.0527405649190769
3mm,polybench/linear-algebra/kernels,polly,EXTRALARGE,1.629636
3mm,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,1.6340925
3mm,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,1.6336
3mm,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,1.6333965
3mm,polybench/linear-algebra/kernels,torch,EXTRALARGE,0.0666562245460227
