benchmark,category,variant,size,time_1
2mm,polybench/linear-algebra/kernels,clang,EXTRALARGE,43.097497
2mm,polybench/linear-algebra/kernels,polly,EXTRALARGE,2.003048
2mm,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,1.842298
2mm,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,1.865366
2mm,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,1.897425
2mm,polybench/linear-algebra/kernels,gcc,EXTRALARGE,24.041243
3mm,polybench/linear-algebra/kernels,clang,EXTRALARGE,71.575547
3mm,polybench/linear-algebra/kernels,polly,EXTRALARGE,2.705824
3mm,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,2.702399
3mm,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,2.718242
3mm,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,2.756468
3mm,polybench/linear-algebra/kernels,gcc,EXTRALARGE,38.295339
atax,polybench/linear-algebra/kernels,clang,EXTRALARGE,0.004616
atax,polybench/linear-algebra/kernels,polly,EXTRALARGE,0.004698
atax,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,0.004686
atax,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,0.004637
atax,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,0.004658
atax,polybench/linear-algebra/kernels,gcc,EXTRALARGE,0.005051
bicg,polybench/linear-algebra/kernels,clang,EXTRALARGE,0.003938
bicg,polybench/linear-algebra/kernels,polly,EXTRALARGE,0.00314
bicg,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,0.003164
bicg,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,0.003136
bicg,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,0.003082
bicg,polybench/linear-algebra/kernels,gcc,EXTRALARGE,0.003991
correlation,polybench/datamining,clang,EXTRALARGE,67.745912
correlation,polybench/datamining,polly,EXTRALARGE,5.396523
correlation,polybench/datamining,polly-parallel,EXTRALARGE,0.875491
correlation,polybench/datamining,polly-vectorizer,EXTRALARGE,2.506041
correlation,polybench/datamining,polly-parallel-vectorizer,EXTRALARGE,0.526464
correlation,polybench/datamining,gcc,EXTRALARGE,67.24386
covariance,polybench/datamining,clang,EXTRALARGE,67.801337
covariance,polybench/datamining,polly,EXTRALARGE,5.40219
covariance,polybench/datamining,polly-parallel,EXTRALARGE,0.844186
covariance,polybench/datamining,polly-vectorizer,EXTRALARGE,2.223339
covariance,polybench/datamining,polly-parallel-vectorizer,EXTRALARGE,0.406904
covariance,polybench/datamining,gcc,EXTRALARGE,66.809345
doitgen,polybench/linear-algebra/kernels,clang,EXTRALARGE,3.245965
doitgen,polybench/linear-algebra/kernels,polly,EXTRALARGE,3.24213
doitgen,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,3.248565
doitgen,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,3.246395
doitgen,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,3.246261
doitgen,polybench/linear-algebra/kernels,gcc,EXTRALARGE,1.758142
gemm,polybench/linear-algebra/blas,clang,EXTRALARGE,5.144419
gemm,polybench/linear-algebra/blas,polly,EXTRALARGE,1.818143
gemm,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,1.858232
gemm,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,1.814264
gemm,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,1.87337
gemm,polybench/linear-algebra/blas,gcc,EXTRALARGE,4.285132
gemver,polybench/linear-algebra/blas,clang,EXTRALARGE,0.099604
gemver,polybench/linear-algebra/blas,polly,EXTRALARGE,0.029224
gemver,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,0.020617
gemver,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,0.030616
gemver,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,0.02101
gemver,polybench/linear-algebra/blas,gcc,EXTRALARGE,0.064437
gesummv,polybench/linear-algebra/blas,clang,EXTRALARGE,0.008258
gesummv,polybench/linear-algebra/blas,polly,EXTRALARGE,0.008257
gesummv,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,0.008239
gesummv,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,0.008229
gesummv,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,0.00825
gesummv,polybench/linear-algebra/blas,gcc,EXTRALARGE,0.008197
mvt,polybench/linear-algebra/kernels,clang,EXTRALARGE,0.092446
mvt,polybench/linear-algebra/kernels,polly,EXTRALARGE,0.018686
mvt,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,0.010041
mvt,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,0.017583
mvt,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,0.010164
mvt,polybench/linear-algebra/kernels,gcc,EXTRALARGE,0.055199
symm,polybench/linear-algebra/blas,clang,EXTRALARGE,36.99058
symm,polybench/linear-algebra/blas,polly,EXTRALARGE,37.293392
symm,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,37.317134
symm,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,37.302599
symm,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,37.236151
symm,polybench/linear-algebra/blas,gcc,EXTRALARGE,36.691735
syr2k,polybench/linear-algebra/blas,clang,EXTRALARGE,49.224237
syr2k,polybench/linear-algebra/blas,polly,EXTRALARGE,5.104684
syr2k,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,1.051413
syr2k,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,2.963299
syr2k,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,0.972342
syr2k,polybench/linear-algebra/blas,gcc,EXTRALARGE,26.089149
