category,benchmark,method,synthesis_time
blas,dot,tenspiler,0.6520094563
blas,gemv,tenspiler,16.4923092
blas,ger,tenspiler,3600.0
blend,color_burn_8,tenspiler,63.22
blend,color_dodge_8,tenspiler,34.013
blend,darken_blend_8,tenspiler,28.184
blend,dissolve_blend_8,tenspiler,156.75
blend,lighten_blend_8,tenspiler,35.941
blend,linear_burn_8,tenspiler,21.952
blend,linear_dodge_8,tenspiler,16.111
blend,multiply_blend_8,tenspiler,20.739
blend,normal_blend_8,tenspiler,2.873
blend,normal_blend_f,tenspiler,4.146
blend,overlay_blend_8,tenspiler,85.87
blend,screen_blend_8,tenspiler,76.23
darknet,gemm_nn,tenspiler,3600.0
darknet,gemm_nt,tenspiler,3600.0
darknet,gemm_tn,tenspiler,3600.0
darknet,gemm_tt,tenspiler,3600.0
darknet,mag_array,tenspiler,1.072389494
darknet,matrix_add_matrix,tenspiler,22.71871902
darknet,mse_array,tenspiler,1.382545932
darknet,mult_add_into_cpu,tenspiler,1.491574854
darknet,ol_l2_cpu1,tenspiler,1.447912444
darknet,ol_l2_cpu2,tenspiler,1.23507262
darknet,scale_array,tenspiler,0.9912609238
darknet,scale_matrix,tenspiler,11.53964703
darknet,sum_array,tenspiler,1.168296089
darknet,translate_array,tenspiler,0.8483910891
dsp,matadd,tenspiler,16.1481791
dsp,matinit,tenspiler,3600.0
dsp,matmul,tenspiler,3600.0
dsp,matscal,tenspiler,14.56995771
dsp,matsub,tenspiler,10.44294061
dsp,vadd,tenspiler,1.026293469
dsp,vcopy,tenspiler,0.9664723032
dsp,vfill,tenspiler,3600.0
dsp,vmul,tenspiler,1.159113797
dsp,vneg,tenspiler,0.9796334012
dsp,voffset,tenspiler,0.9025893958
dsp,vrecip,tenspiler,1.045859873
dsp,vscal,tenspiler,1.360349127
dsp,vsub,tenspiler,0.9755994952
dsp,w_vec,tenspiler,3600.0
dspstone,mat1x3,tenspiler,18.15934214
dspstone,matrix1,tenspiler,3600.0
dspstone,matrix2,tenspiler,3600.0
dspstone,n_real_updates,tenspiler,1.262441819
dspstone,pin_down,tenspiler,3600.0
llama,matmul,tenspiler,6.284
llama,rmsnorm_part1,tenspiler,1.63
llama,rmsnorm_part2,tenspiler,5.415
llama,softmax_part1,tenspiler,5.895
llama,softmax_part2,tenspiler,4.22
llama,softmax_part3,tenspiler,1.424
llama,softmax_part4,tenspiler,2.466
llama,transformer_part1,tenspiler,1302.17
llama,transformer_part2,tenspiler,767.58
llama,transformer_part3,tenspiler,2.836
llama,transformer_part4,tenspiler,2.357
makespeare,sum_of_squares,tenspiler,1.075767063
mathfu,diveq,tenspiler,1.293067663
mathfu,diveq_sca,tenspiler,1.054695562
mathfu,len,tenspiler,1.099529254
mathfu,len_sq,tenspiler,0.8526582278
mathfu,lerp,tenspiler,3600.0
mathfu,matmul_sca,tenspiler,13.00504956
mathfu,muleq,tenspiler,1.205974843
mathfu,muleq_sca,tenspiler,0.3039087339
mathfu,negate,tenspiler,0.9247669774
mathfu,pluseq,tenspiler,1.073443321
mathfu,subeq,tenspiler,1.042457542
mathfu,subeq_sca,tenspiler,0.9020979021
polybench,2mm,tenspiler,3600.0
polybench,3mm,tenspiler,3600.0
polybench,atax,tenspiler,3600.0
polybench,bicg,tenspiler,3600.0
polybench,correlation,tenspiler,3600.0
polybench,covariance,tenspiler,3600.0
polybench,doitgen,tenspiler,3600.0
polybench,gemm,tenspiler,3600.0
polybench,gemver,tenspiler,3600.0
polybench,gesummv,tenspiler,3600.0
polybench,mvt,tenspiler,3600.0
polybench,symm,tenspiler,3600.0
polybench,syr2k,tenspiler,3600.0
polybench,syrk,tenspiler,3600.0
simpl_array,array_inc,tenspiler,0.929245283
simpl_array,array_sum,tenspiler,1.042145594
simpl_array,cube_in_place,tenspiler,1.025240385
simpl_array,fourth_in_place,tenspiler,0.9982683983
simpl_array,sum_elts,tenspiler,1.188311688
utdsp,dct,tenspiler,3600.0
utdsp,fir_small,tenspiler,1.768861124
utdsp,histogram,tenspiler,3600.0
utdsp,lmsfir1,tenspiler,1.728788622
utdsp,lmsfir2,tenspiler,1.34502924
utdsp,mult_big,tenspiler,3600.0
blas,dot,mlirSynth,0.1259696211200207
blas,gemv,mlirSynth,0.1404452030546963
blas,ger,mlirSynth,0.2013987279497087
blend,color_burn_8,mlirSynth,3600.0
blend,color_dodge_8,mlirSynth,3600.0
